923314	Zimbawe Rock	Zimbawe Rock		-13.96542	34.80193	T	RK	MW		S	12			0		476	Africa/Blantyre	2011-06-06
923315	Zilale	Zilale		-14.88333	35.33333	P	PPL	MW		S	28			0		494	Africa/Blantyre	2011-03-10
923316	Zilakoma	Zilakoma		-12.09047	34.05571	P	PPL	MW		N	17			0		481	Africa/Blantyre	2011-06-06
923317	Zikwimba Hill	Zikwimba Hill		-11.71667	33.8	T	HLL	MW		N	17			0		1682	Africa/Blantyre	2011-03-10
923318	Zikoti Zaka	Zikoti Zaka		-11.97602	33.33405	P	PPL	MW		N	15			0		1194	Africa/Blantyre	2011-06-06
923319	Zikheta	Zikheta		-12.59275	33.51573	P	PPL	MW		C	09			0		1198	Africa/Blantyre	2011-06-06
923320	Zikesa	Zikesa		-14.4	33.93333	P	PPL	MW		C	06			0		1217	Africa/Blantyre	2011-03-10
923321	Ziga Tembo	Ziga Tembo		-11.44599	33.60803	P	PPL	MW		N	15			0		1326	Africa/Blantyre	2011-06-06
923322	Zifa	Zifa		-12.78333	33.38333	P	PPL	MW		C	09			0		1092	Africa/Blantyre	2011-03-10
923323	Zifa	Zifa		-12.56667	33.36667	P	PPL	MW		C	09			0		1264	Africa/Blantyre	2011-03-10
923324	Zidyana	Zidyana		-13.21417	34.31717	P	PPL	MW		C	18			0		511	Africa/Blantyre	2011-06-06
923325	Zidunge	Zidunge		-13.68333	33.85	P	PPL	MW		C	07			0		1332	Africa/Blantyre	2011-03-10
923326	Zidana	Zidana		-14.85228	34.74308	P	PPL	MW		C	16			0		937	Africa/Blantyre	2011-06-06
923327	Zidala	Zidala		-15.58465	34.57955	P	PPL	MW		00				0		401	Africa/Blantyre	1993-12-23
923328	Ziaghayiki	Ziaghayiki		-12.47077	33.56899	P	PPL	MW		N	15			0		1271	Africa/Blantyre	2011-06-06
923329	Zgambo	Zgambo		-11.03333	33.86667	P	PPL	MW		00				0		1054	Africa/Blantyre	1993-12-23
